ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Crime_Year,Month,Day,Hour,Day_of_Week,Day_Name,Month_Name,Is_Weekend,Is_Late_Night,Is_Rush_Hour,Season,Time_of_Day,Crime_Severity,District_Crime_Count,Ward_Crime_Count,Primary_Type_Encoded,Time_of_Day_Encoded,Season_Encoded,Day_Name_Encoded,Latitude_Scaled,Longitude_Scaled,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster,Final_Geo_Cluster
13536790,JH355814,2024-07-21 13:09:00,042XX W 14TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,1011,10,24,29,14,1148179.0,1893034.0,2024,05/17/2025 03:40:52 PM,41.862429788,-87.731533699,"(41.862429788, -87.731533699)",2024,7,21,13,6,Sunday,July,1,0,0,Summer,Afternoon,3,20080,17130,5,0,2,3,0.1824916002427705,-1.0737083501652835,0,-1,-1,0
13764068,JJ167893,2025-03-03 12:21:00,048XX W FULTON ST,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,SIDEWALK,1,0,1532,15,28,25,18,1143903.0,1901492.0,2025,11/02/2025 03:41:09 PM,41.885720773,-87.747018429,"(41.885720773, -87.747018429)",2025,3,3,12,0,Monday,March,0,0,0,Spring,Afternoon,3,16669,22135,17,0,1,1,0.4516969885072338,-1.336126160233383,0,0,-1,0
13717316,JJ111235,2025-01-11 05:55:00,004XX E WACKER DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,0,1,114,1,42,32,08B,1179167.0,1902430.0,2025,11/02/2025 03:41:09 PM,41.887560528,-87.6174939,"(41.887560528, -87.6174939)",2025,1,11,5,5,Saturday,January,1,0,0,Winter,Night,3,28831,17860,2,3,3,2,0.4729615232225381,0.8589100625671874,0,-1,-1,0
14067289,JJ536493,2025-12-27 17:13:00,027XX W GREENLEAF AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,1,1,2411,24,50,2,26,1156860.0,1946654.0,2025,01/04/2026 03:41:22 PM,42.009395449,-87.698208509,"(42.009395449, -87.698208509)",2025,12,27,17,5,Saturday,December,1,0,1,Winter,Afternoon,1,16276,5263,22,0,3,2,1.8811723486544285,-0.5089504641766514,0,-1,-1,0
13424300,JH219152,2024-04-09 22:13:00,018XX W LARCHMONT AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,0,0,1922,19,47,5,07,1163279.0,1926249.0,2024,12/21/2024 03:40:46 PM,41.953270293,-87.675167926,"(41.953270293, -87.675167926)",2024,4,9,22,1,Tuesday,April,0,1,0,Spring,Night,3,26728,5200,16,3,1,5,1.2324580751970422,-0.1184845449418625,0,-1,-1,0
13713655,JJ106656,2025-01-07 08:00:00,115XX S PERRY AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,0,1,522,5,9,53,04B,1177651.0,1828278.0,2025,11/02/2025 03:41:09 PM,41.684114564,-87.625303429,"(41.684114564, -87.625303429)",2025,1,7,8,1,Tuesday,January,0,0,1,Winter,Morning,3,19576,14943,2,2,3,5,-1.8785384124586992,0.7265629375063366,1,-1,-1,1
13771514,JJ176790,2025-03-11 03:20:00,059XX S INDIANA AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,1,1,232,2,20,40,04B,1178616.0,1865645.0,2025,11/02/2025 03:41:09 PM,41.786632384,-87.620638155,"(41.786632384, -87.620638155)",2025,3,11,3,1,Tuesday,March,0,1,0,Spring,Night,3,26221,16470,2,3,1,5,-0.6936014277359019,0.8056247607637623,1,-1,-1,1
13821265,JJ234090,2025-04-28 00:00:00,033XX N HALSTED ST,0460,BATTERY,SIMPLE,SIDEWALK,0,1,1925,19,44,6,08B,1170328.0,1922582.0,2025,11/02/2025 03:41:09 PM,41.943056436,-87.649362967,"(41.943056436, -87.649362967)",2025,4,28,0,0,Monday,April,0,1,0,Spring,Night,3,26728,8300,2,3,1,1,1.114402727200237,0.3188289135219226,0,-1,-1,0
13498410,JH309790,2024-06-17 12:49:00,006XX N CLARK ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,1,0,1832,18,42,8,06,1175423.0,1904617.0,2024,05/17/2025 03:40:52 PM,41.893646656,-87.631177143,"(41.893646656, -87.631177143)",2024,6,17,12,0,Monday,June,0,0,0,Summer,Afternoon,2,26914,17860,29,0,2,1,0.5433071290982434,0.6270218305675975,0,-1,-1,0
13750310,JJ146092,2025-02-08 09:00:00,041XX N HERMITAGE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,0,1,1912,19,47,6,26,1164058.0,1927461.0,2025,11/02/2025 03:41:09 PM,41.956579625,-87.672269899,"(41.956579625, -87.672269899)",2025,2,8,9,5,Saturday,February,1,0,1,Winter,Morning,1,26728,5200,22,2,3,2,1.2707084972361304,-0.0693720386948371,0,-1,-1,0
